Name, class, n, opt, gap, lb0, lb, ub0, ub, rootColCnt, totalColCnt, exploredNodeCnt, rmpCnt, pricingCnt,lb0Time, ub0Time, rmpTime, pricingTime, totalTime
N2C1W2_CL2_3_4_A.BPPFI, CL2_3_4,100,0,0.041666667,23,23,24,24,0,11636753,52588,8999429,8999429,0.006,0.01,2006.075,1432.954,3600.04
N2C1W2_CL2_3_4_B.BPPFI, CL2_3_4,100,1,0,22,22,22,22,0,0,0,0,0,0.005,0.009,0,0,0.017
N2C1W2_CL2_3_4_C.BPPFI, CL2_3_4,100,0,0.043478261,22,22,23,23,0,9475786,33722,7512912,7512912,0.006,0.01,2093,1361.581,3600.087
N2C1W2_CL2_3_4_D.BPPFI, CL2_3_4,100,1,0,24,24,24,24,0,0,0,0,0,0.004,0.01,0,0,0.015
N2C1W2_CL2_3_4_E.BPPFI, CL2_3_4,100,1,0,23,24,24,24,0,450,1,351,351,0.006,0.012,0.162,0.174,0.5
N2C1W4_CL1_1_3_A.BPPFI, CL1_1_3,100,1,0,32,33,33,33,0,363,1,264,264,0.006,0.009,0.134,0.1,0.36
N2C1W4_CL1_1_3_B.BPPFI, CL1_1_3,100,0,0.03030303,32,32,33,33,0,17388223,113006,13223817,13223817,0.005,0.007,2077.872,1299.634,3600
N2C1W4_CL1_1_3_C.BPPFI, CL1_1_3,100,1,0,33,34,34,34,0,406,1,307,307,0.006,0.007,0.126,0.101,0.345
N2C1W4_CL1_1_3_D.BPPFI, CL1_1_3,100,1,0,34,35,35,35,0,355,1,256,256,0.004,0.007,0.091,0.095,0.346
N2C1W4_CL1_1_3_E.BPPFI, CL1_1_3,100,1,0,32,33,33,33,0,367,1,268,268,0.004,0.006,0.128,0.098,0.337
N2C1W4_CL1_1_5_A.BPPFI, CL1_1_5,100,1,0,22,22,22,22,0,0,0,0,0,0.005,0.011,0,0,0.016
N2C1W4_CL1_1_5_B.BPPFI, CL1_1_5,100,1,0,22,22,22,22,0,0,0,0,0,0.005,0.01,0,0,0.016
N2C1W4_CL1_1_5_C.BPPFI, CL1_1_5,100,0,0.041666667,23,23,24,24,0,8831159,32229,7063792,7063792,0.005,0.009,1985.954,1473.533,3600.001
N2C1W4_CL1_1_5_D.BPPFI, CL1_1_5,100,1,0,23,24,24,24,0,482,1,383,383,0.006,0.01,0.243,0.214,0.613
N2C1W4_CL1_1_5_E.BPPFI, CL1_1_5,100,1,0,22,23,23,23,0,477,1,378,378,0.007,0.01,0.276,0.234,0.643
N2C1W4_CL2_1_5_A.BPPFI, CL2_1_5,100,1,0,28,29,29,29,0,306,1,207,207,0.005,0.006,0.078,0.071,0.26
N2C1W4_CL2_1_5_B.BPPFI, CL2_1_5,100,0,0.035714286,27,27,28,28,0,13127497,51081,9750133,9750133,0.006,0.007,2040.765,1388.478,3600.047
N2C1W4_CL2_1_5_C.BPPFI, CL2_1_5,100,0,0.034482759,28,28,29,29,0,15181412,60687,10793484,10793484,0.006,0.007,1928.563,1481.616,3600.014
N2C1W4_CL2_1_5_D.BPPFI, CL2_1_5,100,1,0,28,29,29,29,0,334,1,235,235,0.006,0.007,0.087,0.083,0.279
N2C1W4_CL2_1_5_E.BPPFI, CL2_1_5,100,1,0,27,28,28,28,0,342,1,243,243,0.004,0.007,0.094,0.097,0.297
N2C1W4_CL2_3_3_A.BPPFI, CL2_3_3,100,0,0.035714286,27,27,28,28,0,21331368,144278,15292919,15292919,0.005,0.007,1945.831,1405.366,3600.004
N2C1W4_CL2_3_3_B.BPPFI, CL2_3_3,100,0,0.035714286,27,27,28,28,0,13208302,49079,9616906,9616906,0.006,0.007,1992.098,1436.548,3600.043
N2C1W4_CL2_3_3_C.BPPFI, CL2_3_3,100,1,0,28,29,29,29,0,320,1,221,221,0.006,0.007,0.079,0.083,0.284
N2C1W4_CL2_3_3_D.BPPFI, CL2_3_3,100,1,0,28,29,30,29,0,26136219,278310,16431982,16431982,0.006,0.008,1697.115,1472.544,3469.613
N2C1W4_CL2_3_3_E.BPPFI, CL2_3_3,100,1,0,27,28,28,28,0,342,1,243,243,0.005,0.007,0.097,0.11,0.32
N2C1W4_CL2_3_4_A.BPPFI, CL2_3_4,100,0,0.04,24,24,25,25,0,11075115,42576,8573338,8573338,0.005,0.009,1992.446,1454.459,3600.031
N2C1W4_CL2_3_4_B.BPPFI, CL2_3_4,100,1,0,23,23,23,23,0,0,0,0,0,0.005,0.01,0,0,0.016
N2C1W4_CL2_3_4_C.BPPFI, CL2_3_4,100,1,0,24,24,24,24,0,0,0,0,0,0.006,0.011,0,0,0.017
N2C1W4_CL2_3_4_D.BPPFI, CL2_3_4,100,1,0,24,24,24,24,0,0,0,0,0,0.005,0.009,0,0,0.014
N2C1W4_CL2_3_4_E.BPPFI, CL2_3_4,100,1,0,23,24,24,24,0,1943754,6865,1529033,1529033,0.005,0.009,398.121,281.748,708.519
N2C2W1_CL1_1_3_A.BPPFI, CL1_1_3,100,0,0.045454545,21,21,22,22,0,18434060,131060,14522429,14522429,0.006,0.009,2051.122,1304.558,3600.001
N2C2W1_CL1_1_3_B.BPPFI, CL1_1_3,100,0,0.04,24,24,25,25,0,12098636,47552,9725793,9725793,0.006,0.008,2131.284,1292.044,3600.003
N2C2W1_CL1_1_3_C.BPPFI, CL1_1_3,100,1,0,21,21,21,21,0,0,0,0,0,0.005,0.012,0,0,0.018
N2C2W1_CL1_1_3_D.BPPFI, CL1_1_3,100,1,0,22,22,22,22,0,0,0,0,0,0.006,0.01,0,0,0.016
N2C2W1_CL1_1_3_E.BPPFI, CL1_1_3,100,1,0,21,21,21,21,0,0,0,0,0,0.006,0.01,0,0,0.018
N2C2W1_CL1_1_5_A.BPPFI, CL1_1_5,100,1,0,15,15,15,15,0,0,0,0,0,0.006,0.013,0,0,0.02
N2C2W1_CL1_1_5_B.BPPFI, CL1_1_5,100,1,0,17,17,17,17,0,0,0,0,0,0.006,0.014,0,0,0.021
N2C2W1_CL1_1_5_C.BPPFI, CL1_1_5,100,1,0,15,15,15,15,0,0,0,0,0,0.006,0.012,0,0,0.02
N2C2W1_CL1_1_5_D.BPPFI, CL1_1_5,100,0,0.0625,15,15,16,16,0,6979785,27340,5814866,5814866,0.006,0.013,2075.958,1384.486,3600.12
N2C2W1_CL1_1_5_E.BPPFI, CL1_1_5,100,1,0,15,15,15,15,0,0,0,0,0,0.005,0.012,0,0,0.018
N2C2W1_CL2_1_5_A.BPPFI, CL2_1_5,100,0,0.045454545,21,21,22,22,0,14386299,82997,11275682,11275682,0.006,0.008,2044.809,1356.872,3600.005
N2C2W1_CL2_1_5_B.BPPFI, CL2_1_5,100,1,0,23,23,24,23,0,16966,107,11942,11942,0.005,0.007,2.756,2.655,5.906
N2C2W1_CL2_1_5_C.BPPFI, CL2_1_5,100,1,0,21,21,22,21,0,360077,2057,282549,282549,0.006,0.011,66.483,43.678,116.04
N2C2W1_CL2_1_5_D.BPPFI, CL2_1_5,100,1,0,22,22,23,22,0,21300,232,15395,15395,0.006,0.007,3.263,2.911,6.772
N2C2W1_CL2_1_5_E.BPPFI, CL2_1_5,100,1,0,21,21,21,21,0,0,0,0,0,0.005,0.008,0,0,0.014
N2C2W1_CL2_3_3_A.BPPFI, CL2_3_3,100,1,0,20,20,20,20,0,0,0,0,0,0.007,0.01,0,0,0.017
N2C2W1_CL2_3_3_B.BPPFI, CL2_3_3,100,0,0.043478261,22,22,23,23,0,32373544,659499,22036494,22036494,0.005,0.007,1850.286,1338.971,3600.011
N2C2W1_CL2_3_3_C.BPPFI, CL2_3_3,100,1,0,20,20,20,20,0,0,0,0,0,0.006,0.009,0,0,0.017
N2C2W1_CL2_3_3_D.BPPFI, CL2_3_3,100,1,0,21,21,22,21,0,17321,114,12310,12310,0.005,0.009,3.001,2.726,6.193
N2C2W1_CL2_3_3_E.BPPFI, CL2_3_3,100,1,0,20,20,20,20,0,0,0,0,0,0.006,0.008,0,0,0.014
N2C2W1_CL2_3_4_A.BPPFI, CL2_3_4,100,1,0,18,18,18,18,0,0,0,0,0,0.005,0.011,0,0,0.017
