Name, class, n, opt, gap, lb0, lb, ub0, ub, rootColCnt, totalColCnt, exploredNodeCnt, rmpCnt, pricingCnt,lb0Time, ub0Time, rmpTime, pricingTime, totalTime
N3C1W4_CL2_1_5_C.BPPFI, CL2_1_5,200,0,0.018518519,53,53,54,54,0,6847700,12470,5335285,5335285,0.006,150.001,2096.002,1257.871,3600.136
N3C1W4_CL2_1_5_D.BPPFI, CL2_1_5,200,0,0.035714286,54,54,56,56,0,6183127,10323,4672380,4672380,0.006,150.001,2035.152,1324.628,3600.245
N3C1W4_CL2_1_5_E.BPPFI, CL2_1_5,200,0,0.036363636,53,53,55,55,0,7438227,13812,5748044,5748044,0.005,150.001,2050.182,1301.937,3600.264
N3C1W4_CL2_3_3_A.BPPFI, CL2_3_3,200,0,0.035714286,54,54,56,56,0,7247721,13354,5536145,5536145,0.005,150.001,1999.104,1355.162,3600.226
N3C1W4_CL2_3_3_B.BPPFI, CL2_3_3,200,0,0.018181818,54,54,55,55,0,6959358,12500,5386448,5386448,0.005,150,2075.969,1282.728,3600.302
N3C1W4_CL2_3_3_C.BPPFI, CL2_3_3,200,0,0.036363636,53,53,56,55,0,7124523,14099,5505633,5505633,0.005,150.001,2077.435,1277.114,3600.27
N3C1W4_CL2_3_3_D.BPPFI, CL2_3_3,200,0,0.018181818,54,54,55,55,0,5736752,8821,4410194,4410194,0.006,150.001,2103.059,1262.553,3600.084
N3C1W4_CL2_3_3_E.BPPFI, CL2_3_3,200,0,0.018518519,53,53,54,54,0,5227201,7603,4083273,4083273,0.006,150.001,2129.404,1236.605,3600.284
N3C1W4_CL2_3_4_A.BPPFI, CL2_3_4,200,0,0.040816327,47,47,49,49,0,5079287,8904,4094881,4094881,0.005,150,2095.034,1265.368,3600.224
N3C1W4_CL2_3_4_B.BPPFI, CL2_3_4,200,0,0.020833333,47,47,49,48,0,4373999,8010,3507822,3507822,0.008,150.001,2108.9,1256.822,3600.011
N3C1W4_CL2_3_4_C.BPPFI, CL2_3_4,200,0,0.020833333,47,47,48,48,0,5177574,10293,4185949,4185949,0.006,150.001,2100.846,1257.496,3600.162
N3C1W4_CL2_3_4_D.BPPFI, CL2_3_4,200,0,0.040816327,47,47,49,49,0,7993095,20658,6419364,6419364,0.006,150.001,2012.622,1316.769,3600.137
N3C1W4_CL2_3_4_E.BPPFI, CL2_3_4,200,0,0.041666667,46,46,48,48,0,8026144,22801,6531244,6531244,0.006,150.001,2026.794,1301.551,3600.182
N3C2W1_CL1_1_3_A.BPPFI, CL1_1_3,200,0,0.020833333,47,47,48,48,0,10920757,38260,8637898,8637898,0.007,150.001,1966.762,1325.491,3600.064
N3C2W1_CL1_1_3_B.BPPFI, CL1_1_3,200,1,0,44,44,44,44,0,0,0,0,0,0.005,0.004,0,0,0.011
N3C2W1_CL1_1_3_C.BPPFI, CL1_1_3,200,0,0.023255814,42,42,43,43,0,3599336,4419,3006008,3006008,0.005,150.001,2361.52,1013.737,3600.804
N3C2W1_CL1_1_3_D.BPPFI, CL1_1_3,200,0,0.023255814,42,42,43,43,0,5101347,8539,4241533,4241533,0.006,150.001,2267.522,1088.313,3600.334
N3C2W1_CL1_1_3_E.BPPFI, CL1_1_3,200,0,0.022727273,43,43,44,44,0,4267623,6263,3586549,3586549,0.005,150.001,2341.499,1022.9,3600.33
N3C2W1_CL1_1_5_A.BPPFI, CL1_1_5,200,1,0,30,30,30,30,0,0,0,0,0,0.006,0.004,0,0,0.011
N3C2W1_CL1_1_5_B.BPPFI, CL1_1_5,200,1,0,28,28,28,28,0,0,0,0,0,0.006,0.004,0,0,0.01
N3C2W1_CL1_1_5_C.BPPFI, CL1_1_5,200,1,0,29,29,29,29,0,0,0,0,0,0.006,0.004,0,0,0.01
N3C2W1_CL1_1_5_D.BPPFI, CL1_1_5,200,1,0,29,29,29,29,0,0,0,0,0,0.006,0.004,0,0,0.011
N3C2W1_CL1_1_5_E.BPPFI, CL1_1_5,200,0,0.033333333,29,29,30,30,0,1795280,2210,1553683,1553683,0.005,150.001,2411.98,977.912,3600.87
N3C2W1_CL2_1_5_A.BPPFI, CL2_1_5,200,1,0,43,43,43,43,0,0,0,0,0,0.005,0.004,0,0,0.009
N3C2W1_CL2_1_5_B.BPPFI, CL2_1_5,200,1,0,41,41,42,41,0,90002,205,68628,68628,0.007,150.001,46.486,20.954,219.524
N3C2W1_CL2_1_5_C.BPPFI, CL2_1_5,200,0,0.023809524,41,41,42,42,0,5644803,9703,4613242,4613242,0.006,150.001,2165.157,1188.57,3600.038
N3C2W1_CL2_1_5_D.BPPFI, CL2_1_5,200,1,0,40,41,41,41,0,3340,5,2746,2746,0.006,150.001,2.765,1.149,154.106
