Name,Class,N, #Node, #Node-P,#Col, #PriceCnt, LB0,LB, UB0,UB,Opt,Time
N1C2W1_CL2_3_3_E,CL2_3_3,50,1,0,409,41,9,9,9,9,1,0.03
N1C2W1_CL2_3_4_A,CL2_3_4,50,1,0,379,38,9,9,9,9,1,0.05
N1C2W1_CL2_3_4_B,CL2_3_4,50,1,0,370,37,10,10,10,10,1,0.05
N1C2W1_CL2_3_4_C,CL2_3_4,50,1,0,400,40,10,10,10,10,1,0.05
N1C2W1_CL2_3_4_D,CL2_3_4,50,1,0,520,52,10,10,10,10,1,0.06
N1C2W1_CL2_3_4_E,CL2_3_4,50,1,0,378,38,8,8,8,8,1,0.03
N1C2W2_CL1_1_3_A,CL1_1_3,50,1,0,343,34,13,13,13,13,1,0.03
N1C2W2_CL1_1_3_B,CL1_1_3,50,1,0,344,34,14,14,14,14,1,0.02
N1C2W2_CL1_1_3_C,CL1_1_3,50,1,0,304,30,14,14,14,14,1,0.05
N1C2W2_CL1_1_3_D,CL1_1_3,50,1,0,353,35,13,13,13,13,1,0.03
N1C2W2_CL1_1_3_E,CL1_1_3,50,1,34,380,117,15,15,16,15,1,0.14
N1C2W2_CL1_1_5_A,CL1_1_5,50,1,0,529,53,9,9,9,9,1,0.06
N1C2W2_CL1_1_5_B,CL1_1_5,50,1,0,752,78,9,10,10,10,1,1.55
N1C2W2_CL1_1_5_C,CL1_1_5,50,1,0,460,46,10,10,10,10,1,0.05
N1C2W2_CL1_1_5_D,CL1_1_5,50,1,0,529,53,9,9,9,9,1,0.06
N1C2W2_CL1_1_5_E,CL1_1_5,50,1,0,370,37,10,10,10,10,1,0.05
N1C2W2_CL2_1_5_A,CL2_1_5,50,1,0,362,36,11,11,12,11,1,0.03
N1C2W2_CL2_1_5_B,CL2_1_5,50,1,0,272,27,12,12,12,12,1,0.03
N1C2W2_CL2_1_5_C,CL2_1_5,50,772,59,3619,2207,12,12,13,12,1,9.25
N1C2W2_CL2_1_5_D,CL2_1_5,50,1,0,281,28,11,11,11,11,1,0.03
N1C2W2_CL2_1_5_E,CL2_1_5,50,1,0,313,31,13,13,13,13,1,0.03
N1C2W2_CL2_3_3_A,CL2_3_3,50,1,0,492,59,12,11,12,12,1,0.19
N1C2W2_CL2_3_3_B,CL2_3_3,50,1,0,272,27,12,12,12,12,1,0.02
